Nombre,Tipo,Habilidad,Ataque,Edad,Arma
Link,Guerrero,Maestría con la espada,70,17,Espada Maestra
Zelda,Guerrero,Magia de luz,40,20,Báculo de Luz
Impa,Guerrero,Sigilo ninja,45,50,Hojas Gemelas Sheikah
Mipha,Guerrero,Curación acuática,35,25,Lanza del Dominio Zora
Daruk,Guerrero,Resistencia rocosa,55,45,Escudo del Talión
Urbosa,Guerrero,Furia del desierto,60,38,Espada de los Segadores
Revali,Guerrero,Precisión aérea,70,27,Arco del Valle
Sidon,Guerrero,Dominio del agua,50,22,Lanza Zora
Ganondorf,Enemigo,Poder oscuro supremo,70,2000,Espada Maldita
Bokoblin Rojo,Enemigo,Emboscada furtiva,10,50,Mazo Oxidado
Bokoblin Azul,Enemigo,Agilidad esquiva,15,60,Lanza de Hierro
Moblin,Enemigo,Fuerza bruta,25,70,Gran Mazo
Stalfos,Enemigo,Regeneración ósea,30,200,Espada de Hueso
Lynel,Enemigo,Embestida imparable,45,150,Hacha de Guerra Lynel
Hinox,Enemigo,Resistencia titánica,60,500,Mazo Gigante
